package,fedora_patch,debian_patch,type,fedora_time,debian_time
gforth,configure-assumptions.patch,configure-assumptions.patch,common,2021-02-02 01:01:02-03:00,2018-12-25 23:55:46+02:00
gforth,gforth-0.7.0-compile-fix.patch,qrnnd-build.patch,common,2011-03-21 15:00:14+01:00,2018-12-25 23:55:46+02:00
gforth,gforth-0.7.0-shebang.patch,script-hashbang.patch,similar,2008-11-05 23:15:49+00:00,2018-12-25 23:55:46+02:00
minisat2,minisat2-memory-limit.patch,memory_limit,common,2016-03-19 18:16:21-06:00,
minisat2,minisat2-clang-build.patch,clang_build,common,2019-02-09 13:43:30-07:00,
libatasmart,libatasmart-0.19-wd-fix.patch,0001-Dont-test-undefined-bits.patch,common,2017-09-13 10:55:56-07:00,2013-03-25 07:34:41+01:00
golang-github-fogleman-gg,0001-fix-test-for-1.13.patch,0001-fix-parsing-flags.patch,similar,2019-11-30 18:38:13+08:00,2020-07-25 21:28:58+05:30
cdargs,cdargs-1.35_format_security.patch,08_gcc_format_security.patch,common,2014-07-31 00:43:52-05:00,2012-06-06 23:49:52-04:00
brutalchess,brutalchess-noquake.patch,disable-quake-pieces.patch,common,2014-12-29 21:02:01+01:00,2018-10-20 18:48:16+02:00
guitarix,guitarix-python-3.11-ftbfs.patch,1001-Fix_FTBFS.patch,common,2023-01-31 22:36:46+01:00,2023-01-17 19:48:10+01:00
source-highlight,904949c9026cb772dc93fbe0947a252ef47127f4.patch,gcc11.patch,common,2022-10-06 14:55:25+02:00,2021-10-22 16:23:56-04:00
python-tempita,0001-Apply-fixes-required-for-Python-3.patch,python3-support.patch,similar,2022-06-21 15:17:40+02:00,2022-06-20 00:48:22-04:00
log4cpp,03_aclocal_automake.diff,03_aclocal_automake.diff,common,2022-02-15 20:07:53+00:00,2016-08-09 11:06:55-04:00
log4cpp,log4cpp-1.0-fix-doc-dest.patch,02_doc_install_path.diff,similar,2008-12-15 20:36:27+00:00,2016-08-09 11:06:55-04:00
gcin,0002-Fix-FTBFS-on-big-endian.patch,0006-Fix-FTBFS-on-mips-powerpc-s390x.patch,common,2018-01-16 22:24:43+08:00,2018-05-25 10:18:38+08:00
entangle,0001-meson-fix-build-for-meson-0.60.0.patch,0001-Fix_meson_build.patch,common,2022-08-02 14:39:59+01:00,2022-03-15 22:43:53+01:00
p7zip,14-Fix-g++-warning.patch,14-Fix-g++-warning.patch,common,2018-01-27 01:16:04+00:00,2018-01-28 22:20:48+01:00
