package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
maven-dependency-tree,0,0,0,0,0,0
nsca,0,0,1,3,1,4
uget,1,0,0,0,1,1
gcal,0,1,2,6,1,9
rust-fasteval,0,1,3,3,1,7
hunt,0,0,7,6,1,13
plexus-sec-dispatcher,0,0,0,2,1,2
libgxps,0,0,0,0,0,0
jansi-native,0,0,0,0,0,0
rust-language-tags,0,0,0,0,0,0
golang-github-juju-ratelimit,0,0,0,0,0,0
sigrok-cli,0,0,0,0,0,0
python-bsddb3,0,0,3,2,1,5
rust-xz2,0,0,1,2,1,3
lifeograph,0,0,0,1,1,1
clthreads,0,0,0,1,1,1
irrlicht,0,0,7,5,1,12
ding-libs,0,0,0,0,0,0
hawtjni,0,0,1,1,1,2
flann,0,0,4,3,1,7
python-matrix-common,0,0,0,0,0,0
mgetty,0,0,28,28,1,56
jboss-logging-tools,0,0,1,3,1,4
lua-penlight,0,0,0,0,0,0
ocaml-res,0,0,0,0,0,0
php-zmq,0,0,0,16,1,16
gnome-devel-docs,0,0,0,0,0,0
jack-keyboard,0,0,2,3,1,5
rust-secrecy,0,0,0,0,0,0
emerald,0,0,0,1,1,1
bsdiff,0,0,0,6,1,6
gnome-2048,1,0,0,0,1,1
mdk,0,0,1,9,1,10
golang-github-logrusorgru-aurora,0,0,0,0,0,0
globus-gram-job-manager-scripts,0,0,0,0,0,0
xfwm4,0,0,0,0,0,0
waylandpp,0,0,1,0,1,1
frotz,0,0,1,1,1,2
qlipper,0,0,0,0,0,0
maelstrom,1,0,6,4,1,11
globus-gram-client-tools,0,0,0,0,0,0
gnome-taquin,1,1,0,0,1,2
eurephia,0,0,1,2,1,3
qtspell,0,0,0,0,0,0
gdbm,0,0,0,3,1,3
python-nine,0,0,0,0,0,0
abi-compliance-checker,0,0,0,6,1,6
librasterlite2,0,0,0,1,1,1
rust-quickcheck,0,0,0,1,1,1
python-ddt,0,0,0,0,0,0
libomemo-c,0,0,0,1,1,1
ioport,0,0,0,2,1,2
golang-github-xordataexchange-crypt,0,0,0,0,0,0
atf,0,0,0,2,1,2
wkhtmltopdf,0,0,0,1,1,1
golang-github-containerd-stargz-snapshotter,0,0,0,1,1,1
opencore-amr,0,0,1,0,1,1
libquvi-scripts,0,0,1,1,1,2
golang-github-containerd-cgroups,0,0,0,3,1,3
golang-github-bep-clock,0,0,0,0,0,0
swami,0,0,0,1,1,1
python-xstatic-angular-vis,0,0,0,0,0,0
kproperty,0,0,1,1,1,2
dash,0,0,0,13,1,13
spandsp,0,0,0,5,1,5
msr-tools,0,0,1,2,1,3
grfcodec,0,0,1,3,1,4
phodav,0,0,0,1,1,1
python-scantree,0,0,0,1,1,1
libxpresent,0,0,0,1,1,1
librelp,0,0,0,0,0,0
golang-github-appc-spec,0,0,0,0,0,0
rust-retry,0,0,0,0,0,0
svn2cl,0,0,0,1,1,1
libemf,0,0,0,6,1,6
supertuxkart,0,0,4,6,1,10
eblook,0,0,3,1,1,4
golang-github-cli-oauth,0,0,0,0,0,0
atool,0,0,0,2,1,2
python-pbkdf2,0,0,2,0,1,2
mdns-scan,1,0,0,1,1,2
uptimed,0,0,1,2,1,3
mopac7,0,0,0,1,1,1
qmidiarp,0,0,0,0,0,0
mac-robber,0,0,0,1,1,1
golang-github-soheilhy-cmux,0,0,0,0,0,0
nip2,0,0,1,2,1,3
schedtool,0,0,1,2,1,3
globus-gass-cache,0,0,0,0,0,0
python-parsley,0,0,1,2,1,3
fcgiwrap,2,0,1,7,1,10
args4j,0,0,1,0,1,1
pentaho-reporting-flow-engine,0,0,1,1,1,2
rust-prettytable-rs,0,0,1,2,1,3
catimg,0,0,1,0,1,1
ddgr,0,0,0,2,1,2
safelease,0,0,0,1,1,1
golang-github-kurin-blazer,0,0,0,1,1,1
