package,fedora_patch,debian_patch,type,fedora_time,debian_time
antiword,50_antiword-manpage-hyphen-to-minus.patch,50_antiword-manpage-hyphen-to-minus.patch,common,2018-07-19 06:13:19,2024-04-11 04:33:58
blockout,BlockOutII-2.3-bl2Home.patch,debian_multimedia_paths.patch,similar,2007-11-30 20:24:41,2009-03-10 20:51:50
chemtool,chemtool-gcc10.patch,957084_gcc10.patch,common,2020-02-20 11:12:55,2020-10-03 09:36:19
clamsmtp,clamsmtp-include_order.patch,include_order.patch,common,2018-05-29 21:15:59,2015-03-02 08:50:21
clamsmtp,clamsmtp-man.patch,manpage.patch,common,2010-08-16 14:21:03,2008-11-30 12:58:41
dbus-c++,dbus-c++-macro_collision.patch,05_fix_glibmm_ftbfs.patch,common,2015-03-05 22:49:00,2022-04-20 22:56:42
dbus-c++,dbus-c++-template-operators.patch,08_fix_gcc-12.patch,common,2022-03-23 17:57:04,2022-07-26 12:38:26
dbus-c++,dbus-c++-gcc4.7.patch,03_add_unistd_header.patch,common,2013-12-17 16:30:25,2022-04-20 22:56:13
dietlibc,dietlibc-insecure-defpath.patch,security/insecure-default-PATH.diff,common,2016-07-25 17:09:34,2016-07-20 06:43:28
endlessh,0001-Fix-binary-path-in-endlessh.service.patch,0001-Fix-binary-path-in-endlessh.service.patch,common,2020-12-06 19:23:54,2019-08-04 23:23:39
entangle,0001-meson-fix-build-for-meson-0.60.0.patch,0001-Fix_meson_build.patch,common,2022-08-02 13:39:59,2022-03-15 21:43:53
ettercap,1170.patch,1170.patch,similar,2022-07-26 13:50:33,2022-12-06 20:41:01
fcgiwrap,fcgiwrap-1.1.0-declare_cgi_error_noreturn.patch,declare_cgi_error_noreturn.patch,common,2018-11-08 19:58:20,2017-08-05 16:16:09
fcgiwrap,fcgiwrap-1.1.0-use_pkg-config_libsystemd.patch,libsystemd.patch,common,2018-11-08 19:58:20,2015-07-13 23:59:39
festival,festival-2.5.0-filesystem-standard.patch,20-debian-filesystem-standard.diff,similar,2019-10-16 22:39:52,2014-01-04 21:04:41
